Municipality,Year,YieldPortfolio,Tmin_mean,Tmin_min,Tmax_mean,Tmax_max,Tmean_mean,Ptot_sum,Ptot_max,GDD_sum,HotDays_sum,FrostDays_sum,WetDays_sum
BRENDA-WASKADA,1997,1.6195653167635196,0.23900965813150687,-35.31602021,8.647747784780822,31.80498785,4.443378722016439,0.43,0.1,1942.0431795060001,5,184,25
BRENDA-WASKADA,1998,2.492703141208443,1.1092956523424657,-31.15771023,8.842400009769863,31.54373642,4.975847831520548,0.59,0.04,1945.139448112,3,163,41
BRENDA-WASKADA,1999,1.3064270464740813,1.131800569490411,-29.03036835,9.011952203383562,32.27225072,5.071876387057535,0.46,0.03,1718.311159718,5,162,34
BRENDA-WASKADA,2000,2.9793565110665186,-0.16310600066666664,-32.99378733,7.815854263486338,33.09899767,3.826374131590164,0.58,0.04,1840.689397131,4,162,43
BRENDA-WASKADA,2001,2.294174849986618,0.6851048285589042,-30.72623028,8.880294747964385,34.13774328,4.782699788849315,0.36,0.04,1926.229704641,7,169,30
BRENDA-WASKADA,2002,2.196223983869629,-0.17745004107671236,-30.83486993,8.032901541079452,34.9533615,3.9277257501506853,0.3,0.03,1766.304831586,9,204,20
BRENDA-WASKADA,2003,2.490285227027756,-0.15685644421643832,-32.4831982,8.175584942457533,35.80648391,4.009364249410959,0.27,0.02,2056.966773497,16,171,25
BRENDA-WASKADA,2004,3.074995991205566,-0.605824221636612,-38.54038104,7.025602053224044,30.81353723,3.2098889161775954,0.52,0.03,1529.39425633,1,182,40
BRENDA-WASKADA,2005,2.0814021677177896,0.6235903635232877,-33.02702482,8.424234231331507,33.3184836,4.523912297871233,0.37,0.03,1879.50770389,10,163,28
BRENDA-WASKADA,2006,2.9540032426696445,1.5751979832465752,-30.68580348,9.779638309326028,33.6237498,5.677418147082192,0.25,0.04,2102.982909785,11,174,22
BRENDA-WASKADA,2007,2.776384023984325,0.2960189245260274,-32.97711867,8.637812718758903,35.90563662,4.466915821936986,0.35000000000000003,0.04,2040.971827936,13,159,24
